trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.5, 'e': 0.49658530379140947}",30,23,5.122395758852665,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.4941085742561417}",35,16,-38.48533535196793,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.4916441974609651}",30,15,-37.941960100093645,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.48919211179633154}",20,0,-77.4808204824502,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.4867522559599717}",30,0,-34.001442674918344,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.48432456895536247}",20,0,-83.54804007116084,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,11,-2.5234903359606062,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.4795054589748941}",35,0,-43.48473269725318,"{0: 28, 1: 0, 2: 6, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,12,3.943844930595535,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.4747342999399124}",25,19,-13.810730104952823,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,17.777423030569473,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.47001061473053796}",30,4,-79.44136242882061,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-1.0520293658766302,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.4653339309743134}",30,3,-22.321837716542497,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,17,16.93998464572582,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.4607037809989658}",35,0,-12.880801192057264,"{0: 29, 1: 1, 2: 5, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.4584060113052235}",30,17,12.233190903377821,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.4561197017856392}",30,5,-40.696334928184,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,19,-13.27007882729299,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4515812349225922}",20,4,-17.7233856877865,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,8,18.884591747823382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
